DopingConcentration(C1(n1314_msh)) X,DopingConcentration(C1(n1314_msh)) Y,DopingConcentration(C1(n1349_msh)) X,DopingConcentration(C1(n1349_msh)) Y,DopingConcentration(C1(n1384_msh)) X,DopingConcentration(C1(n1384_msh)) Y,DopingConcentration(C2(n1207_msh_4)) X,DopingConcentration(C2(n1207_msh_4)) Y,DopingConcentration(C2(n1242_msh_4)) X,DopingConcentration(C2(n1242_msh_4)) Y,DopingConcentration(C2(n1277_msh_4)) X,DopingConcentration(C2(n1277_msh_4)) Y,GR = 0.03 ; AB = 0.32 X,GR = 0.03 ; AB = 0.32 Y,GR = 0.03 ; AB = 0.62 X,GR = 0.03 ; AB = 0.62 Y,GR = 0.07 ; AB = 0.32 X,GR = 0.07 ; AB = 0.32 Y,GR = 0.07 ; AB = 0.62 X,GR = 0.07 ; AB = 0.62 Y,GR = 0.1 ; AB = 0.32 X,GR = 0.1 ; AB = 0.32 Y,GR = 0.1 ; AB = 0.62 X,GR = 0.1 ; AB = 0.62 Y
-6.956996,-6.7629882e+18,-6.956996,-6.7629882e+18,-6.956996,-6.7629882e+18,-6.956996,-6.7629687e+18,-6.956996,-6.7629757e+18,-6.956996,-6.7629757e+18,-6.956996,-6.7629808e+18,-6.956996,-6.762895e+18,-6.956996,-6.7629808e+18,-6.956996,-6.762895e+18,-6.956996,-6.7629808e+18,-6.956996,-6.762895e+18
-6.8404026,-6.726141e+18,-6.8404026,-6.726141e+18,-6.8404026,-6.726141e+18,-6.8439069,-6.727229e+18,-6.8439069,-6.7272355e+18,-6.8439069,-6.7272355e+18,-6.8170428,-6.7187517e+18,-6.8360405,-6.7246675e+18,-6.8170428,-6.7187517e+18,-6.8360405,-6.7246675e+18,-6.8170428,-6.7187517e+18,-6.8360405,-6.7246675e+18
-6.8170428,-6.7187586e+18,-6.8170428,-6.7187586e+18,-6.8170428,-6.7187586e+18,-6.8170428,-6.7187392e+18,-6.8170428,-6.7187457e+18,-6.8170428,-6.7187457e+18,-6.6770897,-6.605035e+18,-6.8170428,-6.7186637e+18,-6.6770897,-6.605035e+18,-6.8170428,-6.7186637e+18,-6.6770897,-6.605035e+18,-6.8170428,-6.7186637e+18
-6.7004495,-6.6240212e+18,-6.7004495,-6.6240212e+18,-6.7004495,-6.6240212e+18,-6.7039537,-6.6268492e+18,-6.7039537,-6.6268545e+18,-6.7039537,-6.6268545e+18,-6.537137,-6.4224493e+18,-6.6960874,-6.6203768e+18,-6.537137,-6.4224493e+18,-6.6960874,-6.6203768e+18,-6.537137,-6.4224493e+18,-6.6960874,-6.6203768e+18
-6.6770897,-6.6050404e+18,-6.6770897,-6.6050404e+18,-6.6770897,-6.6050404e+18,-6.6770897,-6.6050213e+18,-6.6770897,-6.6050263e+18,-6.6770897,-6.6050263e+18,-6.3971839,-6.17983e+18,-6.6770897,-6.6049405e+18,-6.3971839,-6.17983e+18,-6.6770897,-6.6049405e+18,-6.3971839,-6.17983e+18,-6.6770897,-6.6049405e+18
-6.5604968,-6.4529287e+18,-6.5604968,-6.4529287e+18,-6.5604968,-6.4529287e+18,-6.5640011,-6.457481e+18,-6.5640011,-6.4574845e+18,-6.5640011,-6.4574845e+18,-6.2572308,-5.8870509e+18,-6.5561342,-6.4471294e+18,-6.2572308,-5.8870509e+18,-6.5561342,-6.4471294e+18,-6.2572308,-5.8870509e+18,-6.5561342,-6.4471294e+18
-6.537137,-6.4224529e+18,-6.537137,-6.4224529e+18,-6.537137,-6.4224529e+18,-6.537137,-6.4224338e+18,-6.537137,-6.4224368e+18,-6.537137,-6.4224368e+18,-6.1172776,-5.5537384e+18,-6.537137,-6.4223446e+18,-6.1172776,-5.5537384e+18,-6.537137,-6.4223446e+18,-6.1172776,-5.5537384e+18,-6.537137,-6.4223446e+18
-6.4205437,-6.2203279e+18,-6.4205437,-6.2203279e+18,-6.4205437,-6.2203279e+18,-6.4240479,-6.2263827e+18,-6.4240479,-6.2263843e+18,-6.4240479,-6.2263843e+18,-5.9773245,-5.1886941e+18,-6.4161816,-6.2126463e+18,-5.9773245,-5.1886941e+18,-6.4161816,-6.2126463e+18,-5.9773245,-5.1886941e+18,-6.4161816,-6.2126463e+18
-6.3971839,-6.1798319e+18,-6.3971839,-6.1798319e+18,-6.3971839,-6.1798319e+18,-6.3971839,-6.179812e+18,-6.3971839,-6.1798132e+18,-6.3971839,-6.1798132e+18,-5.8373713,-4.7992739e+18,-6.3971839,-6.1797124e+18,-5.8373713,-4.7992739e+18,-6.3971839,-6.1797124e+18,-5.8373713,-4.7992739e+18,-6.3971839,-6.1797124e+18
-6.2805905,-5.9359195e+18,-6.2805905,-5.9359195e+18,-6.2805905,-5.9359195e+18,-6.2840948,-5.943229e+18,-6.2840948,-5.943229e+18,-6.2840948,-5.943229e+18,-5.6974182,-4.391489e+18,-6.2762284,-5.9266615e+18,-5.6974182,-4.391489e+18,-6.2762284,-5.9266615e+18,-5.6974182,-4.391489e+18,-6.2762284,-5.9266615e+18
-6.2572308,-5.8870513e+18,-6.2572308,-5.8870513e+18,-6.2572308,-5.8870513e+18,-6.2572308,-5.8870302e+18,-6.2572308,-5.8870298e+18,-6.2572308,-5.8870298e+18,-5.5574656,-3.9701354e+18,-6.2572308,-5.8869187e+18,-5.5574656,-3.9701354e+18,-6.2572308,-5.8869187e+18,-5.5574656,-3.9701354e+18,-6.2572308,-5.8869187e+18
-6.1406374,-5.6093714e+18,-6.1406374,-5.6093714e+18,-6.1406374,-5.6093714e+18,-6.1441417,-5.617694e+18,-6.1441417,-5.6176928e+18,-6.1441417,-5.6176928e+18,-5.4175124,-3.5389824e+18,-6.1362753,-5.5988363e+18,-5.4175124,-3.5389824e+18,-6.1362753,-5.5988363e+18,-5.4175124,-3.5389824e+18,-6.1362753,-5.5988363e+18
