[1] V: 44.23  Mn: 1.296  Mp: 1.209  (46.95s)
[2] V: 41.99  Mn: 1.061  Mp: 1.044  (98.51s)
[3] V: 39.82  Mn: 0.861  Mp: 0.897  (152.1s)
[4] V: 40.95  Mn: 0.962  Mp: 0.972  (204.4s)
[5] V: 41.30  Mn: 0.994  Mp: 0.996  (252.0s)
[1] V: 0.00  Mn: nan  Mp: nan  (141.2s)
[1] V: 74.22  Mn: 0.650  Mp: 0.770  (186.7s)
[2] V: 79.04  Mn: 0.893  Mp: 0.941  (3388.s)
[3] V: 83.94  Mn: 1.289  Mp: 1.126  (3598.s)
[4] V: 81.48  Mn: 1.065  Mp: 1.032  (3814.s)
[5] V: 80.71  Mn: 1.006  Mp: 1.003  (4019.s)
[1] V: 75.59  Mn: 0.746  Mp: 0.834  (276.7s)
[2] V: 80.50  Mn: 0.999  Mp: 1.000  (558.2s)
[1] V: 75.25  Mn: 0.784  Mp: 0.853  (250.8s)
[2] V: 80.22  Mn: 1.014  Mp: 1.008  (507.4s)
[1] V: 72.93  Mn: 0.811  Mp: 0.865  (225.6s)
[2] V: 78.01  Mn: 1.015  Mp: 1.010  (462.7s)
[1] V: 78.10  Mn: 1.019  Mp: 1.012  (216.8s)
[2] V: 72.98  Mn: 0.813  Mp: 0.866  (416.7s)
[3] V: 75.44  Mn: 0.906  Mp: 0.935  (623.3s)
[4] V: 76.32  Mn: 0.942  Mp: 0.961  (837.0s)
[5] V: 77.21  Mn: 0.980  Mp: 0.986  (1044.s)
[6] V: 77.39  Mn: 0.987  Mp: 0.992  (1248.s)
[7] V: 77.57  Mn: 0.995  Mp: 0.997  (1447.s)
[1] V: 70.74  Mn: 0.825  Mp: 0.874  (254.0s)
[2] V: 75.94  Mn: 1.028  Mp: 1.019  (522.1s)
[3] V: 73.33  Mn: 0.922  Mp: 0.945  (784.3s)
[4] V: 74.63  Mn: 0.974  Mp: 0.982  (1050.s)
[5] V: 75.04  Mn: 0.990  Mp: 0.993  (1318.s)
[1] V: 68.28  Mn: 0.827  Mp: 0.877  (226.5s)
[2] V: 73.49  Mn: 1.029  Mp: 1.020  (465.2s)
[3] V: 70.91  Mn: 0.925  Mp: 0.947  (690.8s)
[4] V: 72.16  Mn: 0.974  Mp: 0.982  (930.3s)
[5] V: 72.65  Mn: 0.994  Mp: 0.996  (1171.s)
[1] V: 0.00  Mn: nan  Mp: nan  (134.2s)
[1] V: 0.00  Mn: nan  Mp: nan  (129.7s)
[1] V: 0.00  Mn: nan  Mp: nan  (133.4s)
[1] V: 0.00  Mn: nan  Mp: nan  (133.4s)
[1] V: 66.94  Mn: 0.846  Mp: 0.893  (279.3s)
[1] V: 66.95  Mn: 0.865  Mp: 0.906  (262.5s)
[1] V: 66.97  Mn: 0.868  Mp: 0.908  (287.9s)
[2] V: 72.43  Mn: 1.091  Mp: 1.060  (600.5s)
[3] V: 69.57  Mn: 0.970  Mp: 0.979  (911.0s)
[4] V: 71.11  Mn: 1.033  Mp: 1.022  (1235.s)
[5] V: 70.23  Mn: 0.996  Mp: 0.998  (1545.s)
[1] V: 66.96  Mn: 0.861  Mp: 0.904  (157.7s)
[2] V: 72.37  Mn: 1.081  Mp: 1.054  (329.3s)
[3] V: 69.61  Mn: 0.964  Mp: 0.976  (496.7s)
