Number,SettingsPath,DataPath,Curvename
1,log/2019-02-15-07-24-47-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n1701_des))
2,log/2019-02-15-07-46-35-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n1153_des))
3,log/2019-02-15-08-29-10-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n1454_des))
4,log/2019-02-15-09-20-00-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n1948_des))
5,log/2019-02-15-09-51-26-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n2195_des))
6,log/2019-02-15-10-15-28-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n3016_des))
7,log/2019-02-15-10-47-17-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n3345_des))
8,log/2019-02-15-11-18-20-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n3674_des))
9,log/2019-02-15-12-10-15-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n4003_des))
10,log/2019-02-15-13-17-21-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n4661_des))
11,log/2019-02-15-14-17-51-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n4332_des))
12,log/2019-02-15-15-07-23-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n496_des))
13,log/2019-02-15-16-16-05-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n716_des))
14,log/2019-02-15-16-39-32-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n496_des))
15,log/2019-02-15-16-43-24-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n1153_des))
16,log/2019-02-15-16-47-36-Settings.csv,/Users/Ethan/Dropbox/R06943183/DopingProfile-ND1.7e16-0.6um.csv,DopingConcentration(C1(n4332_des))
17,log/2019-02-15-23-10-11-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n8028_des_2))
18,log/2019-02-15-23-50-05-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n8608_des_2))
19,log/2019-02-16-08-15-57-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n5832_msh))
20,log/2019-02-16-09-05-51-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n5861_msh))
21,log/2019-02-16-09-40-58-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n5890_msh))
22,log/2019-02-16-11-13-45-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n5919_msh))
23,log/2019-02-16-12-41-22-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n5948_msh))
24,log/2019-02-16-13-49-50-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n5977_msh))
25,log/2019-02-16-16-09-44-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n6006_msh))
26,log/2019-02-16-16-49-22-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n6035_msh))
27,log/2019-02-16-17-11-52-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/72/DopingProfile_72_ML3e16_CH4.12e17.csv,DopingConcentration(C1(n6064_msh))
