energy,absorption
0.759708738,1731.271032
0.774271845,3280.016529
0.781553398,4940.574183
0.796116505,5867.342215
0.825242718,7749.963515
0.941747573,10060.6456
1.029126214,12036.57864
1.131067961,14636.20895
1.189320388,16404.9254
1.291262136,18682.28755
1.32038835,21292.7302
1.349514563,25490.88793
1.422330097,30502.20755
1.451456311,34199.13592
1.509708738,40263.64656
1.582524272,47396.03108
1.655339806,58603.4467
1.757281553,71260.47331
1.815533981,85283.32266
1.888349515,95574.19959
2.004854369,114308.8022
2.13592233,134472.0851
2.237864078,153139.7492
2.339805825,183187.5849
2.368932039,226612.8458
2.398058252,271292.7182
2.45631068,335496.8308
2.54368932,363798.5826
2.660194175,387951.9533
2.718446602,413972.3058
2.791262136,463925.0741
2.90776699,511210.3776
3.038834951,536204.0162
3.169902913,544284.0256
3.286407767,561704.1764
3.402912621,579681.87
3.533980583,598139.7724
3.723300971,647875.4931
3.810679612,679875.2907
3.95631068,773887.3468
4.087378641,895597.2954
4.203883495,1053742.12
4.32038835,1180330.401
4.436893204,1300634.917
4.567961165,1409680.478
4.72815534,1454103.923
4.873786408,1382140.267
5.033980583,1335233.222
5.165048544,1269354.434
5.339805825,1186544.245
5.558252427,1145546.023
5.718446602,1070983.244
5.878640777,1034636.24
