wavelength,absorption
0.21175,1425935.89
0.22584,1787310.472
0.23994,1891036.885
0.25404,1737400.731
0.26109,1508689.959
0.27048,1273796.35
0.27753,987870.4622
0.28928,858025.1147
0.31043,745075.0146
0.33157,724269.1717
0.34802,704044.3215
0.36681,745075.0146
0.38561,745075.0146
0.39266,665426.3586
0.40441,501764.579
0.4138,378355.4551
0.42555,310527.4522
0.4373,254859.0148
0.4467,215129.5159
0.45844,192176.3763
0.47489,162255.7141
0.48899,136961.9719
0.50543,122348.8805
0.52423,103276.1406
0.54772,94885.53267
0.57592,82394.8372
0.60411,71548.41214
0.62526,62129.80635
0.6511,55500.89672
0.67695,50991.75976
0.69574,48194.77976
0.72394,41850.43727
0.74743,37385.22511
0.77562,34347.88499
0.80382,31557.31174
0.82966,28993.45693
0.84611,23795.78301
0.86256,17446.16598
0.88135,13530.06864
0.90015,10796.9229
0.91424,9113.810621
0.92599,3693.17596
0.93069,2351.25645
0.93539,1539.571986
0.93774,573.1918412
0.94479,325.9117363
0.94714,185.3531623
0.95184,117.9777203
0.95419,65.22288425
0.96123,21.69202019
0.96593,5.755724525
0.97063,3.66353209
0.97298,2.025349607
